jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-11-20,4,head1,20,2000,0,0,3.26,0.2304,3-5-1,3720,11,1100,0,0,0.204,16
09,2025-11-20,4,head2,20,2000,0,0,4.42,0.1697,3-5-1,3720,10,1000,0,0,0.1404,16
09,2025-11-20,4,head3,20,2000,1,3720,3.47,0.2163,3-5-1,3720,11,1100,1,3720,0.1932,16
09,2025-11-20,4,head4,20,2000,0,0,44.84,0.0167,3-5-1,3720,0,0,0,0,0.0,16
09,2025-11-20,4,head5,20,2000,0,0,3.0,0.2502,3-5-1,3720,12,1200,0,0,0.2293,16
09,2025-11-20,4,head6,20,2000,0,0,6.36,0.1179,3-5-1,3720,6,600,0,0,0.0745,16
09,2025-11-20,4,anti_in,100,10000,1,3720,0.97,0.7708,3-5-1,3720,39,3900,1,3720,0.6375,16
09,2025-11-21,4,head1,20,2000,1,4140,3.08,0.2438,1-2-5,4140,11,1100,1,4140,0.2171,16
09,2025-11-21,4,head2,20,2000,0,0,2.3,0.3263,1-2-5,4140,14,1400,0,0,0.3109,16
09,2025-11-21,4,head3,20,2000,0,0,3.37,0.2225,1-2-5,4140,14,1400,0,0,0.2073,16
09,2025-11-21,4,head4,20,2000,0,0,5.08,0.1478,1-2-5,4140,11,1100,0,0,0.1103,16
09,2025-11-21,4,head5,20,2000,0,0,14.76,0.0508,1-2-5,4140,0,0,0,0,0.0,16
09,2025-11-21,4,head6,20,2000,0,0,72.16,0.0104,1-2-5,4140,0,0,0,0,0.0,16
09,2025-11-21,4,anti_in,100,10000,0,0,0.99,0.7577,1-2-5,4140,39,3900,0,0,0.6286,16
09,2025-11-22,4,head1,20,2000,1,880,1.12,0.671,1-3-2,880,20,2000,1,880,0.671,2
